VendorID;lpep_pickup_datetime;lpep_dropoff_datetime;store_and_fwd_flag;RatecodeID;PULocationID;DOLocationID;passenger_count;trip_distance;fare_amount;extra;mta_tax;tip_amount;tolls_amount;ehail_fee;improvement_surcharge;total_amount;payment_type;trip_type;congestion_surcharge
1;2020-05-01 07:34:34;2020-05-01 08:04:10;N;1.0;240;75;1.0;0.0;33.2;0.0;0.5;0.0;0.0;;0.3;34.0;1.0;1.0;0.0
2;2020-05-01 07:35:00;2020-05-01 07:51:00;;;51;174;;3.91;28.22;0.0;0.0;0.0;6.12;;0.3;34.64;;;
2;2020-05-01 07:35:01;2020-05-01 07:57:58;N;1.0;260;231;1.0;9.36;28.5;0.0;0.5;4.0;0.0;;0.3;36.05;1.0;1.0;2.75
2;2020-05-01 07:36:00;2020-05-01 07:53:00;;;39;165;;4.03;19.2;0.0;0.0;2.75;6.12;;0.3;28.37;;;
2;2020-05-01 07:37:00;2020-05-01 07:52:00;;;97;249;;4.71;19.4;0.0;0.0;2.75;0.0;;0.3;22.45;;;
2;2020-05-01 07:37:00;2020-05-01 07:39:00;;;149;149;;0.41;54.25;0.0;0.0;0.0;0.0;;0.3;54.55;;;
2;2020-05-01 07:37:03;2020-05-01 07:38:39;N;1.0;42;41;1.0;0.4;3.5;0.0;0.5;0.0;0.0;;0.3;4.3;2.0;1.0;0.0
2;2020-05-01 07:38:00;2020-05-01 07:46:00;;;188;71;;1.09;6.29;0.0;0.0;0.0;0.0;;0.3;6.59;;;
2;2020-05-01 07:39:06;2020-05-01 08:29:03;N;1.0;61;169;1.0;17.96;54.0;0.0;0.5;2.75;0.0;;0.3;57.55;1.0;1.0;0.0
2;2020-05-01 07:39:14;2020-05-01 07:42:13;N;1.0;244;244;1.0;0.75;4.5;0.0;0.5;0.0;0.0;;0.3;5.3;2.0;1.0;0.0
1;2020-05-01 07:39:53;2020-05-01 07:46:40;N;5.0;74;74;1.0;1.4;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;3.0;2.0;0.0
2;2020-05-01 07:39:55;2020-05-01 07:43:53;N;1.0;74;74;1.0;0.57;5.0;0.0;0.5;0.0;0.0;;0.3;5.8;2.0;1.0;0.0
2;2020-05-01 07:40:00;2020-05-01 08:07:00;;;82;265;;13.53;45.41;0.0;0.0;0.0;0.0;;0.3;45.71;;;
2;2020-05-01 07:40:45;2020-05-01 07:56:57;N;1.0;43;107;2.0;4.41;17.0;0.0;0.5;4.11;0.0;;0.3;24.66;1.0;1.0;2.75
2;2020-05-01 07:41:00;2020-05-01 07:47:00;;;95;102;;0.98;12.4;0.0;0.0;2.75;0.0;;0.3;15.45;;;
2;2020-05-01 07:41:00;2020-05-01 07:57:00;;;127;247;;4.57;13.37;0.0;0.0;0.0;0.0;;0.3;13.67;;;
2;2020-05-01 07:41:00;2020-05-01 07:58:00;;;188;65;;4.24;13.51;0.0;0.0;0.0;0.0;;0.3;13.81;;;
2;2020-05-01 07:41:00;2020-05-01 07:55:00;;;213;159;;5.71;17.68;0.0;0.0;0.0;0.0;;0.3;17.98;;;
2;2020-05-01 07:41:00;2020-05-01 07:45:00;;;71;188;;0.74;5.2;0.0;0.0;0.0;0.0;;0.3;5.5;;;
2;2020-05-01 07:42:00;2020-05-01 08:09:00;;;244;137;;9.51;31.02;0.0;0.0;0.0;0.0;;0.3;34.07;;;
1;2020-05-01 07:42:10;2020-05-01 07:46:56;N;1.0;42;42;2.0;0.8;5.5;0.0;0.5;1.25;0.0;;0.3;7.55;1.0;1.0;0.0
2;2020-05-01 07:44:00;2020-05-01 08:06:00;;;75;28;;13.72;37.81;0.0;0.0;0.0;6.12;;0.3;44.23;;;
2;2020-05-01 07:45:00;2020-05-01 07:45:00;;;74;74;;0.04;15.16;0.0;0.0;0.0;0.0;;0.3;15.46;;;
2;2020-05-01 07:45:00;2020-05-01 07:59:00;;;91;188;;3.17;10.71;0.0;0.0;0.0;0.0;;0.3;11.01;;;
2;2020-05-01 07:45:00;2020-05-01 08:04:00;;;41;137;;6.68;19.99;0.0;0.5;0.0;0.0;;0.3;23.54;;;
2;2020-05-01 07:45:01;2020-05-01 07:47:07;N;1.0;74;74;1.0;0.25;3.5;0.0;0.5;0.0;0.0;;0.3;4.3;2.0;1.0;0.0
2;2020-05-01 07:46:00;2020-05-01 08:21:00;;;42;256;;12.12;31.84;0.0;0.0;0.0;6.12;;0.3;38.26;;;
2;2020-05-01 07:46:22;2020-05-01 07:52:37;N;1.0;41;42;1.0;1.11;6.5;0.0;0.5;0.0;0.0;;0.3;7.3;2.0;1.0;0.0
2;2020-05-01 07:46:29;2020-05-01 07:57:27;N;1.0;74;162;1.0;4.7;15.0;0.0;0.5;0.0;0.0;;0.3;18.55;2.0;1.0;2.75
2;2020-05-01 07:46:42;2020-05-01 08:03:41;N;1.0;152;159;1.0;3.62;14.5;0.0;0.5;2.0;0.0;;0.3;17.3;1.0;1.0;0.0
2;2020-05-01 07:47:45;2020-05-01 07:56:43;N;1.0;152;74;1.0;1.83;8.5;0.0;0.5;0.0;0.0;;0.3;9.3;1.0;1.0;0.0
2;2020-05-01 07:47:47;2020-05-01 07:48:42;N;1.0;82;82;2.0;0.17;3.0;0.0;0.5;0.0;0.0;;0.3;3.8;2.0;1.0;0.0
2;2020-05-01 07:48:00;2020-05-01 07:58:00;;;91;29;;5.86;18.3;0.0;0.0;0.0;0.0;;0.3;18.6;;;
1;2020-05-01 07:48:13;2020-05-01 08:08:58;N;1.0;129;51;1.0;0.0;37.2;0.0;0.5;0.0;6.12;;0.3;44.12;1.0;1.0;0.0
2;2020-05-01 07:48:23;2020-05-01 08:00:33;N;1.0;42;47;1.0;2.78;11.5;0.0;0.5;2.46;0.0;;0.3;14.76;1.0;1.0;0.0
2;2020-05-01 07:48:40;2020-05-01 07:54:21;N;1.0;75;24;1.0;1.37;7.0;0.0;0.5;1.95;0.0;;0.3;9.75;1.0;1.0;0.0
2;2020-05-01 07:49:10;2020-05-01 07:57:27;N;1.0;244;42;1.0;1.63;8.5;0.0;0.5;0.0;0.0;;0.3;9.3;2.0;1.0;0.0
1;2020-05-01 07:49:23;2020-05-01 08:00:17;N;1.0;75;159;1.0;3.2;12.0;0.0;0.5;0.0;0.0;;0.3;12.8;2.0;1.0;0.0
2;2020-05-01 07:49:40;2020-05-01 08:00:48;N;1.0;130;205;1.0;3.21;12.0;0.0;0.5;3.84;0.0;;0.3;16.64;1.0;1.0;0.0
2;2020-05-01 07:49:54;2020-05-01 07:55:29;N;1.0;75;262;1.0;1.12;6.0;0.0;0.5;1.0;0.0;;0.3;10.55;1.0;1.0;2.75
2;2020-05-01 07:51:00;2020-05-01 08:12:00;;;185;43;;11.18;41.86;0.0;0.0;0.0;6.12;;0.3;48.28;;;
2;2020-05-01 07:51:00;2020-05-01 08:00:00;;;182;168;;4.6;18.38;0.0;0.0;0.0;0.0;;0.3;18.68;;;
2;2020-05-01 07:52:00;2020-05-01 08:23:00;;;82;71;;10.72;40.9;0.0;0.0;0.0;0.0;;0.3;41.2;;;
1;2020-05-01 07:52:04;2020-05-01 07:55:34;N;1.0;41;41;1.0;0.6;4.5;0.0;0.5;0.0;0.0;;0.3;5.3;2.0;1.0;0.0
2;2020-05-01 07:52:05;2020-05-01 08:10:30;N;1.0;75;82;1.0;7.18;23.0;0.0;0.5;2.0;6.12;;0.3;31.92;1.0;1.0;0.0
2;2020-05-01 07:52:34;2020-05-01 08:03:28;N;1.0;42;74;1.0;2.77;11.5;0.0;0.5;0.0;0.0;;0.3;12.3;2.0;1.0;0.0
2;2020-05-01 07:54:00;2020-05-01 08:52:00;;;51;37;;23.24;50.2;0.0;0.0;0.0;6.12;;0.3;56.62;;;
2;2020-05-01 07:54:00;2020-05-01 08:10:00;;;250;75;;7.36;20.64;0.0;0.0;2.75;6.12;;0.3;29.81;;;
2;2020-05-01 07:56:00;2020-05-01 08:19:00;;;89;29;;4.45;15.55;0.0;0.0;0.0;0.0;;0.3;15.85;;;
2;2020-05-01 07:56:00;2020-05-01 08:17:00;;;243;48;;9.42;31.24;0.0;0.0;2.75;0.0;;0.3;34.29;;;
2;2020-05-01 07:56:00;2020-05-01 08:24:00;;;77;75;;18.04;50.23;0.0;0.0;0.0;6.12;;0.3;56.65;;;
2;2020-05-01 07:57:00;2020-05-01 08:06:00;;;17;36;;2.06;13.47;0.0;0.0;2.75;0.0;;0.3;16.52;;;
2;2020-05-01 07:57:00;2020-05-01 08:13:00;;;74;137;;5.99;20.22;0.0;0.0;0.0;0.0;;0.3;23.27;;;
2;2020-05-01 07:57:00;2020-05-01 08:28:00;;;243;216;;17.87;46.27;0.0;0.0;2.75;6.12;;0.3;55.44;;;
2;2020-05-01 07:58:00;2020-05-01 08:21:00;;;250;247;;4.2;19.93;0.0;0.0;2.75;6.12;;0.3;29.1;;;
2;2020-05-01 07:58:00;2020-05-01 08:10:00;;;213;168;;5.88;16.62;0.0;0.0;0.0;0.0;;0.3;16.92;;;
2;2020-05-01 07:58:17;2020-05-01 07:59:35;N;1.0;42;42;1.0;0.6;4.0;0.0;0.5;0.0;0.0;;0.3;4.8;2.0;1.0;0.0
2;2020-05-01 07:58:37;2020-05-01 08:07:29;N;1.0;74;166;1.0;1.33;8.0;0.0;0.5;1.76;0.0;;0.3;10.56;1.0;1.0;0.0
2;2020-05-01 07:58:46;2020-05-01 08:50:13;N;1.0;227;254;1.0;26.14;71.0;0.0;0.5;2.75;0.0;;0.3;74.55;1.0;1.0;0.0
2;2020-05-01 07:59:00;2020-05-01 08:06:00;;;71;188;;1.74;8.41;0.0;0.0;0.0;0.0;;0.3;8.71;;;
2;2020-05-01 07:59:00;2020-05-01 08:26:00;;;37;130;;8.23;33.96;0.0;0.5;0.0;0.0;;0.3;34.76;;;
2;2020-05-01 07:59:00;2020-05-01 08:15:00;;;242;159;;6.0;18.3;0.0;0.0;0.0;0.0;;0.3;18.6;;;
2;2020-05-01 07:59:00;2020-05-01 08:10:00;;;18;185;;3.11;10.8;0.0;0.0;0.0;0.0;;0.3;11.1;;;
2;2020-05-01 07:59:52;2020-05-01 08:03:44;N;1.0;41;166;1.0;0.7;5.0;0.0;0.5;0.0;0.0;;0.3;5.8;2.0;1.0;0.0
2;2020-05-01 08:00:00;2020-05-01 08:23:00;;;159;259;;8.65;26.01;0.0;0.0;0.0;0.0;;0.3;26.31;;;
