VendorID;lpep_pickup_datetime;lpep_dropoff_datetime;store_and_fwd_flag;RatecodeID;PULocationID;DOLocationID;passenger_count;trip_distance;fare_amount;extra;mta_tax;tip_amount;tolls_amount;ehail_fee;improvement_surcharge;total_amount;payment_type;trip_type;congestion_surcharge
2;2020-05-01 06:17:07;2020-05-01 06:17:17;N;1.0;51;51;1.0;0.0;2.5;0.0;0.5;0.0;0.0;;0.3;3.3;2.0;1.0;0.0
2;2020-05-01 06:18:46;2020-05-01 06:53:46;N;1.0;22;197;1.0;17.61;51.0;0.0;0.5;2.75;0.0;;0.3;54.55;1.0;1.0;0.0
2;2020-05-01 06:20:00;2020-05-01 06:44:00;;;198;137;;7.04;21.93;0.0;0.0;0.0;6.12;;0.3;31.1;;;
2;2020-05-01 06:22:00;2020-05-01 06:43:00;;;244;137;;9.2;27.61;0.0;0.0;0.0;0.0;;0.3;30.66;;;
2;2020-05-01 06:23:00;2020-05-01 06:45:00;;;259;159;;11.1;26.4;0.0;0.0;0.0;12.24;;0.3;38.94;;;
2;2020-05-01 06:23:33;2020-05-01 06:30:48;N;1.0;41;74;1.0;0.99;7.0;0.0;0.5;0.0;0.0;;0.3;7.8;1.0;1.0;0.0
2;2020-05-01 06:24:21;2020-05-01 06:30:14;N;1.0;74;75;1.0;1.2;6.0;0.0;0.5;0.0;0.0;;0.3;6.8;2.0;1.0;0.0
2;2020-05-01 06:25:00;2020-05-01 06:47:00;;;190;137;;8.34;29.49;0.0;0.0;0.0;0.0;;0.3;32.54;;;
2;2020-05-01 06:26:00;2020-05-01 06:32:00;;;41;75;;1.7;8.73;0.0;0.0;0.0;0.0;;0.3;9.03;;;
2;2020-05-01 06:27:00;2020-05-01 06:56:00;;;205;137;;16.48;44.57;0.0;0.0;0.0;6.12;;0.3;53.74;;;
2;2020-05-01 06:28:00;2020-05-01 06:53:00;;;265;42;;13.56;36.9;0.0;0.0;0.0;0.0;;0.3;37.2;;;
2;2020-05-01 06:28:00;2020-05-01 06:45:00;;;3;168;;10.57;25.21;0.0;0.0;0.0;0.0;;0.3;25.51;;;
2;2020-05-01 06:29:05;2020-05-01 06:36:28;N;1.0;74;152;1.0;1.56;7.5;0.0;0.5;0.0;0.0;;0.3;8.3;2.0;1.0;0.0
2;2020-05-01 06:29:11;2020-05-01 07:23:53;N;1.0;169;61;1.0;19.63;59.5;0.0;0.5;2.75;0.0;;0.3;63.05;1.0;1.0;0.0
2;2020-05-01 06:29:51;2020-05-01 07:09:17;N;1.0;69;197;1.0;14.7;45.5;0.0;0.5;2.75;6.12;;0.3;55.17;1.0;1.0;0.0
2;2020-05-01 06:30:00;2020-05-01 07:09:00;;;37;75;;11.31;32.88;0.0;0.0;0.0;0.0;;0.3;35.93;;;
2;2020-05-01 06:30:00;2020-05-01 06:38:00;;;29;55;;2.43;10.29;0.0;0.0;0.0;0.0;;0.3;10.59;;;
2;2020-05-01 06:30:41;2020-05-01 07:04:58;N;1.0;136;197;1.0;20.1;55.5;0.0;0.5;2.75;6.12;;0.3;65.17;1.0;1.0;0.0
2;2020-05-01 06:32:00;2020-05-01 06:51:00;;;260;137;;5.64;19.26;0.0;0.0;0.0;0.0;;0.3;22.31;;;
2;2020-05-01 06:34:00;2020-05-01 06:48:00;;;159;75;;3.46;12.26;0.0;0.0;0.0;0.0;;0.3;12.56;;;
2;2020-05-01 06:34:00;2020-05-01 06:51:00;;;89;37;;4.35;23.58;0.0;0.0;0.0;0.0;;0.3;23.88;;;
2;2020-05-01 06:35:00;2020-05-01 06:52:00;;;168;140;;4.27;16.53;0.0;0.0;2.75;6.12;;0.3;25.7;;;
2;2020-05-01 06:36:11;2020-05-01 07:24:39;N;1.0;10;136;1.0;19.88;62.0;0.0;0.5;2.75;6.12;;0.3;71.67;1.0;1.0;0.0
2;2020-05-01 06:37:00;2020-05-01 06:55:00;;;83;121;;7.52;21.23;0.0;0.0;0.0;0.0;;0.3;21.53;;;
2;2020-05-01 06:38:00;2020-05-01 06:41:57;N;1.0;41;74;1.0;0.85;5.0;0.0;0.5;0.0;0.0;;0.3;5.8;2.0;1.0;0.0
1;2020-05-01 06:38:38;2020-05-01 06:45:24;N;1.0;75;238;1.0;1.5;7.5;0.0;0.5;0.0;0.0;;0.3;8.3;2.0;1.0;0.0
2;2020-05-01 06:39:00;2020-05-01 07:01:00;;;75;185;;9.71;32.11;0.0;0.0;0.0;0.0;;0.3;32.41;;;
1;2020-05-01 06:40:21;2020-05-01 07:02:49;N;1.0;116;137;1.0;7.7;25.0;3.75;0.5;8.85;0.0;;0.3;38.4;1.0;1.0;2.75
2;2020-05-01 06:40:52;2020-05-01 06:54:33;N;1.0;166;168;1.0;3.35;13.0;0.0;0.5;2.76;0.0;;0.3;16.56;1.0;1.0;0.0
2;2020-05-01 06:41:00;2020-05-01 06:45:00;;;159;119;;1.66;10.93;0.0;0.0;0.0;0.0;;0.3;11.23;;;
2;2020-05-01 06:42:00;2020-05-01 07:09:00;;;258;41;;15.23;40.67;0.0;0.0;2.75;6.12;;0.3;49.84;;;
2;2020-05-01 06:42:24;2020-05-01 06:50:19;N;1.0;75;237;2.0;2.54;9.5;0.0;0.5;3.26;0.0;;0.3;16.31;1.0;1.0;2.75
2;2020-05-01 06:45:00;2020-05-01 07:10:00;;;82;137;;8.04;22.55;0.0;0.0;0.0;6.12;;0.3;31.72;;;
2;2020-05-01 06:45:00;2020-05-01 07:06:00;;;248;137;;10.73;29.32;0.0;0.0;0.0;6.12;;0.3;38.49;;;
1;2020-05-01 06:45:06;2020-05-01 06:52:49;N;1.0;116;244;1.0;1.4;8.0;0.0;0.5;1.0;0.0;;0.3;9.8;1.0;1.0;0.0
2;2020-05-01 06:45:40;2020-05-01 06:57:43;N;1.0;41;244;1.0;2.84;12.0;0.0;0.5;0.0;0.0;;0.3;12.8;2.0;1.0;0.0
2;2020-05-01 06:46:00;2020-05-01 06:56:00;;;72;188;;2.09;10.19;0.0;0.0;0.0;0.0;;0.3;10.49;;;
2;2020-05-01 06:47:00;2020-05-01 07:11:00;;;241;42;;6.52;22.7;0.0;0.0;0.0;0.0;;0.3;23.0;;;
1;2020-05-01 06:48:22;2020-05-01 06:48:27;N;1.0;75;75;1.0;0.0;2.5;0.0;0.5;0.0;0.0;;0.3;3.3;3.0;1.0;0.0
2;2020-05-01 06:49:00;2020-05-01 07:09:00;;;216;188;;8.87;26.7;0.0;0.0;0.0;0.0;;0.3;27.0;;;
2;2020-05-01 06:49:00;2020-05-01 07:02:00;;;226;82;;2.69;15.66;0.0;0.5;0.0;0.0;;0.3;16.46;;;
1;2020-05-01 06:49:08;2020-05-01 07:02:37;N;1.0;74;233;1.0;5.1;16.5;2.75;0.5;0.0;0.0;;0.3;20.05;2.0;1.0;2.75
2;2020-05-01 06:50:00;2020-05-01 06:58:00;;;159;42;;1.94;14.16;0.0;0.0;2.75;0.0;;0.3;17.21;;;
