VendorID;tpep_pickup_datetime;tpep_dropoff_datetime;passenger_count;trip_distance;RatecodeID;store_and_fwd_flag;PULocationID;DOLocationID;payment_type;fare_amount;extra;mta_tax;tip_amount;tolls_amount;improvement_surcharge;total_amount;congestion_surcharge;airport_fee
2;2020-05-01 05:35:58;2020-05-01 05:47:49;1.0;2.5;1.0;N;239;140;2;11.0;0.5;0.5;0.0;0.0;0.3;14.8;2.5;
1;2020-05-01 05:36:48;2020-05-01 05:42:37;2.0;1.0;1.0;N;152;41;1;6.0;0.5;0.5;3.0;0.0;0.3;10.3;0.0;
1;2020-05-01 05:37:47;2020-05-01 06:00:44;0.0;18.3;2.0;N;262;132;1;52.0;2.5;0.5;12.25;6.12;0.3;73.67;2.5;
2;2020-05-01 05:37:53;2020-05-01 05:44:07;1.0;1.21;1.0;N;68;249;2;6.5;0.5;0.5;0.0;0.0;0.3;10.3;2.5;
2;2020-05-01 05:38:22;2020-05-01 05:48:54;1.0;3.92;1.0;N;48;166;1;13.0;0.5;0.5;0.0;0.0;0.3;16.8;2.5;
1;2020-05-01 05:38:49;2020-05-01 05:41:32;1.0;0.7;1.0;N;264;264;2;4.5;0.5;0.5;0.0;0.0;0.3;5.8;0.0;
1;2020-05-01 05:39:45;2020-05-01 05:49:42;1.0;3.9;1.0;N;226;236;2;13.0;3.0;0.5;0.0;0.0;0.3;16.8;2.5;
2;2020-05-01 05:40:05;2020-05-01 05:48:54;6.0;1.89;1.0;N;186;233;1;8.5;0.5;0.5;2.46;0.0;0.3;14.76;2.5;
2;2020-05-01 05:40:18;2020-05-01 05:43:05;1.0;0.93;1.0;N;140;229;2;4.5;0.5;0.5;0.0;0.0;0.3;8.3;2.5;
1;2020-05-01 05:40:22;2020-05-01 05:49:48;1.0;3.8;1.0;N;231;161;1;12.5;2.5;0.5;3.95;0.0;0.3;19.75;2.5;
2;2020-05-01 05:40:35;2020-05-01 05:49:15;1.0;4.17;1.0;N;132;219;2;13.0;0.5;0.5;0.0;0.0;0.3;14.3;0.0;
2;2020-05-01 05:40:41;2020-05-01 05:53:54;1.0;3.15;1.0;N;116;238;2;12.5;0.5;0.5;0.0;0.0;0.3;16.3;2.5;
2;2020-05-01 05:42:58;2020-05-01 06:03:12;1.0;5.87;1.0;N;61;113;2;20.5;0.5;0.5;0.0;0.0;0.3;24.3;2.5;
2;2020-05-01 05:43:07;2020-05-01 05:55:36;1.0;4.15;1.0;N;186;24;1;14.0;0.5;0.5;0.0;0.0;0.3;17.8;2.5;
1;2020-05-01 05:43:42;2020-05-01 05:48:56;1.0;1.8;1.0;N;75;141;1;7.5;3.0;0.5;5.0;0.0;0.3;16.3;2.5;
1;2020-05-01 05:45:08;2020-05-01 05:53:04;1.0;2.7;1.0;N;263;137;1;9.5;3.0;0.5;2.65;0.0;0.3;15.95;2.5;
2;2020-05-01 05:45:11;2020-05-01 05:52:58;1.0;1.47;1.0;N;100;137;1;7.5;0.5;0.5;2.26;0.0;0.3;13.56;2.5;
1;2020-05-01 05:45:11;2020-05-01 05:54:07;1.0;2.1;1.0;N;161;236;2;9.0;3.0;0.5;0.0;0.0;0.3;12.8;2.5;
1;2020-05-01 05:45:29;2020-05-01 05:47:57;1.0;0.6;1.0;N;48;230;2;4.0;2.5;0.5;0.0;0.0;0.3;7.3;2.5;
1;2020-05-01 05:45:30;2020-05-01 05:51:59;1.0;2.0;1.0;N;237;263;1;8.0;2.5;0.5;2.0;0.0;0.3;13.3;2.5;
1;2020-05-01 05:45:30;2020-05-01 05:52:25;1.0;1.9;1.0;N;142;186;1;8.0;3.5;0.5;1.7;0.0;0.3;14.0;2.5;
2;2020-05-01 05:45:53;2020-05-01 05:54:38;1.0;2.82;1.0;N;237;186;1;10.5;0.5;0.5;4.29;0.0;0.3;18.59;2.5;
1;2020-05-01 05:46:23;2020-05-01 05:48:01;1.0;0.4;1.0;N;186;68;2;3.5;3.0;0.5;0.0;0.0;0.3;7.3;2.5;
2;2020-05-01 05:46:35;2020-05-01 05:58:49;2.0;4.08;1.0;N;237;166;2;13.5;0.5;0.5;0.0;0.0;0.3;17.3;2.5;
2;2020-05-01 05:47:32;2020-05-01 05:50:57;3.0;1.46;1.0;N;141;75;1;6.0;0.5;0.5;1.0;0.0;0.3;10.8;2.5;
2;2020-05-01 05:47:37;2020-05-01 05:51:51;1.0;1.34;1.0;N;148;249;1;6.0;0.5;0.5;2.0;0.0;0.3;11.8;2.5;
1;2020-05-01 05:47:40;2020-05-01 05:49:59;1.0;1.0;1.0;N;68;68;2;5.0;2.5;0.5;0.0;0.0;0.3;8.3;2.5;
1;2020-05-01 05:47:43;2020-05-01 05:49:55;1.0;0.7;1.0;N;107;137;1;4.5;3.0;0.5;0.0;0.0;0.3;8.3;2.5;
1;2020-05-01 05:48:23;2020-05-01 05:58:37;2.0;3.5;1.0;N;48;75;1;12.0;3.0;0.5;5.0;0.0;0.3;20.8;2.5;
2;2020-05-01 05:48:26;2020-05-01 05:54:31;1.0;1.2;1.0;N;186;137;1;6.5;0.5;0.5;1.0;0.0;0.3;11.3;2.5;
1;2020-05-01 05:48:52;2020-05-01 05:56:05;1.0;1.7;1.0;N;244;243;2;8.0;0.5;0.5;0.0;0.0;0.3;9.3;0.0;
2;2020-05-01 05:49:33;2020-05-01 05:54:41;1.0;1.34;1.0;N;68;234;1;6.5;0.5;0.5;2.58;0.0;0.3;12.88;2.5;
1;2020-05-01 05:49:46;2020-05-01 05:54:27;1.0;1.4;1.0;N;263;140;2;6.5;3.0;0.5;0.0;0.0;0.3;10.3;2.5;
2;2020-05-01 05:50:08;2020-05-01 06:03:55;1.0;3.93;1.0;N;151;229;1;14.0;0.5;0.5;0.0;0.0;0.3;17.8;2.5;
2;2020-05-01 05:50:25;2020-05-01 05:51:59;1.0;0.65;1.0;N;107;137;2;4.0;0.5;0.5;0.0;0.0;0.3;7.8;2.5;
1;2020-05-01 05:51:42;2020-05-01 05:56:57;1.0;1.0;1.0;N;50;161;1;6.0;3.0;0.5;1.95;0.0;0.3;11.75;2.5;
2;2020-05-01 05:51:50;2020-05-01 05:58:16;1.0;1.47;1.0;N;263;238;2;6.5;0.5;0.5;0.0;0.0;0.3;10.3;2.5;
2;2020-05-01 05:52:05;2020-05-01 05:59:53;2.0;1.32;1.0;N;162;140;2;7.5;0.5;0.5;0.0;0.0;0.3;11.3;2.5;
2;2020-05-01 05:52:13;2020-05-01 05:55:31;1.0;0.92;1.0;N;41;42;2;5.0;0.5;0.5;0.0;0.0;0.3;6.3;0.0;
2;2020-05-01 05:52:36;2020-05-01 05:52:53;1.0;0.03;1.0;N;41;41;2;2.5;0.5;0.5;0.0;0.0;0.3;3.8;0.0;
1;2020-05-01 05:52:40;2020-05-01 06:02:11;1.0;1.9;1.0;N;48;107;1;9.0;2.5;0.5;0.0;0.0;0.3;12.3;2.5;
1;2020-05-01 05:52:45;2020-05-01 06:05:29;1.0;3.4;1.0;N;186;140;1;12.5;3.0;0.5;0.0;0.0;0.3;16.3;2.5;
2;2020-05-01 05:53:05;2020-05-01 06:07:15;2.0;3.26;1.0;N;186;140;2;13.5;0.5;0.5;0.0;0.0;0.3;17.3;2.5;
2;2020-05-01 05:53:27;2020-05-01 05:56:23;1.0;0.97;1.0;N;186;162;2;5.0;0.5;0.5;0.0;0.0;0.3;8.8;2.5;
2;2020-05-01 05:53:27;2020-05-01 06:00:17;1.0;1.83;1.0;N;143;68;2;8.0;0.5;0.5;0.0;0.0;0.3;11.8;2.5;
2;2020-05-01 05:53:36;2020-05-01 06:00:54;1.0;1.82;1.0;N;186;79;2;8.0;0.5;0.5;0.0;0.0;0.3;11.8;2.5;
1;2020-05-01 05:53:41;2020-05-01 06:02:25;1.0;1.9;1.0;N;186;107;2;8.5;2.5;0.5;0.0;0.0;0.3;11.8;2.5;
1;2020-05-01 05:53:43;2020-05-01 05:55:30;1.0;0.4;1.0;N;186;48;2;3.5;2.5;0.5;0.0;0.0;0.3;6.8;2.5;
1;2020-05-01 05:53:50;2020-05-01 06:08:27;1.0;7.7;1.0;N;48;244;2;23.0;3.0;0.5;0.0;0.0;0.3;26.8;2.5;
2;2020-05-01 05:54:12;2020-05-01 05:56:47;4.0;1.03;1.0;N;75;74;1;5.0;0.5;0.5;0.94;0.0;0.3;9.19;0.0;
2;2020-05-01 05:54:53;2020-05-01 05:56:19;6.0;0.73;1.0;N;116;152;1;4.0;0.5;0.5;1.32;0.0;0.3;6.62;0.0;
2;2020-05-01 05:54:56;2020-05-01 06:08:26;1.0;3.2;1.0;N;236;42;2;13.0;0.5;0.5;0.0;0.0;0.3;16.8;2.5;
2;2020-05-01 05:55:01;2020-05-01 06:06:37;1.0;3.35;1.0;N;143;75;1;12.5;0.5;0.5;1.63;0.0;0.3;17.93;2.5;
1;2020-05-01 05:55:29;2020-05-01 06:04:40;1.0;3.1;1.0;N;186;236;1;11.0;2.5;0.5;1.0;0.0;0.3;15.3;2.5;
2;2020-05-01 05:55:46;2020-05-01 06:02:04;1.0;0.88;1.0;N;237;140;2;6.0;0.5;0.5;0.0;0.0;0.3;9.8;2.5;
1;2020-05-01 05:56:17;2020-05-01 05:59:59;1.0;1.4;1.0;N;229;137;1;6.0;3.0;0.5;2.45;0.0;0.3;12.25;2.5;
2;2020-05-01 05:56:23;2020-05-01 05:59:15;1.0;0.98;1.0;N;74;42;1;5.0;0.0;0.5;0.0;0.0;0.3;5.8;0.0;
2;2020-05-01 05:57:14;2020-05-01 05:57:29;1.0;0.1;1.0;N;265;265;2;2.5;0.0;0.5;0.0;0.0;0.3;3.3;0.0;
1;2020-05-01 05:57:22;2020-05-01 06:01:55;1.0;0.7;1.0;N;140;262;1;5.0;3.0;0.5;1.32;0.0;0.3;10.12;2.5;
2;2020-05-01 05:58:59;2020-05-01 06:16:27;1.0;5.39;1.0;N;151;107;1;18.5;0.0;0.5;6.54;0.0;0.3;28.34;2.5;
1;2020-05-01 05:59:08;2020-05-01 06:00:22;1.0;0.4;1.0;N;163;142;1;3.5;3.5;0.5;2.0;0.0;0.3;9.8;2.5;
1;2020-05-01 05:59:44;2020-05-01 06:16:04;1.0;5.2;1.0;N;100;74;2;17.0;2.5;0.5;0.0;0.0;0.3;20.3;2.5;
1;2020-05-01 06:00:31;2020-05-01 06:05:55;2.0;0.9;1.0;N;69;159;2;5.5;0.5;0.5;0.0;0.0;0.3;6.8;0.0;
2;2020-05-01 06:00:36;2020-05-01 06:08:32;1.0;2.96;1.0;N;90;43;1;10.5;0.5;0.5;2.86;0.0;0.3;17.16;2.5;
1;2020-05-01 06:00:37;2020-05-01 06:07:26;1.0;1.3;1.0;Y;74;75;1;7.0;0.0;0.5;2.3;0.0;0.3;10.1;0.0;
1;2020-05-01 06:00:48;2020-05-01 06:06:29;1.0;1.0;1.0;N;264;264;2;6.0;0.0;0.5;0.0;0.0;0.3;6.8;0.0;
1;2020-05-01 06:01:00;2020-05-01 06:07:06;1.0;1.0;1.0;Y;236;237;2;6.5;2.5;0.5;0.0;0.0;0.3;9.8;2.5;
2;2020-05-01 06:01:16;2020-05-01 06:06:25;1.0;1.19;1.0;N;161;100;1;6.0;0.0;0.5;0.0;0.0;0.3;9.3;2.5;
2;2020-05-01 06:01:39;2020-05-01 06:15:50;2.0;5.74;1.0;N;100;152;2;18.5;0.0;0.5;0.0;0.0;0.3;21.8;2.5;
2;2020-05-01 06:01:44;2020-05-01 06:06:14;1.0;1.22;1.0;N;79;249;2;6.0;0.0;0.5;0.0;0.0;0.3;9.3;2.5;
2;2020-05-01 06:02:04;2020-05-01 06:10:43;1.0;3.88;1.0;N;186;75;1;12.5;0.0;0.5;2.0;0.0;0.3;17.8;2.5;
1;2020-05-01 06:02:20;2020-05-01 06:13:35;1.0;3.4;1.0;N;65;125;2;12.5;2.5;0.5;0.0;0.0;0.3;15.8;2.5;
2;2020-05-01 06:02:59;2020-05-01 06:26:49;1.0;3.68;1.0;N;136;247;2;18.0;0.0;0.5;0.0;0.0;0.3;18.8;0.0;
1;2020-05-01 06:03:11;2020-05-01 06:05:21;1.0;0.9;1.0;N;113;186;2;4.5;3.0;0.5;0.0;0.0;0.3;8.3;2.5;
2;2020-05-01 06:03:18;2020-05-01 06:07:35;1.0;1.01;1.0;N;48;163;2;5.5;0.0;0.5;0.0;0.0;0.3;8.8;2.5;
1;2020-05-01 06:03:45;2020-05-01 06:20:53;1.0;5.9;1.0;N;7;238;2;19.0;2.5;0.5;0.0;0.0;0.3;22.3;2.5;
2;2020-05-01 06:03:47;2020-05-01 06:09:17;5.0;2.29;1.0;N;238;152;1;8.5;0.0;0.5;2.32;0.0;0.3;11.62;0.0;
2;2020-05-01 06:04:13;2020-05-01 06:11:28;1.0;1.91;1.0;N;140;75;1;8.5;0.0;0.5;2.95;0.0;0.3;14.75;2.5;
2;2020-05-01 06:04:14;2020-05-01 06:17:46;1.0;3.45;1.0;N;234;87;2;-12.5;0.0;-0.5;0.0;0.0;-0.3;-15.8;-2.5;
2;2020-05-01 06:04:14;2020-05-01 06:17:46;1.0;3.45;1.0;N;234;87;2;12.5;0.0;0.5;0.0;0.0;0.3;15.8;2.5;
1;2020-05-01 06:04:18;2020-05-01 06:16:45;1.0;3.9;1.0;N;262;146;1;13.5;2.5;0.5;5.0;0.0;0.3;21.8;2.5;
2;2020-05-01 06:04:31;2020-05-01 06:06:28;1.0;0.76;1.0;N;262;140;1;4.0;0.0;0.5;1.46;0.0;0.3;8.76;2.5;
2;2020-05-01 06:04:34;2020-05-01 06:12:29;2.0;4.88;1.0;N;170;88;1;15.0;0.0;0.5;2.5;0.0;0.3;20.8;2.5;
2;2020-05-01 06:04:40;2020-05-01 06:10:37;1.0;1.1;1.0;N;186;170;1;6.5;0.5;0.5;5.0;0.0;0.3;15.3;2.5;
1;2020-05-01 06:04:57;2020-05-01 06:18:07;1.0;3.2;1.0;N;140;74;1;12.5;2.5;0.5;2.0;0.0;0.3;17.8;2.5;
2;2020-05-01 06:05:34;2020-05-01 06:13:16;1.0;2.13;1.0;N;143;162;2;9.0;0.0;0.5;0.0;0.0;0.3;12.3;2.5;
1;2020-05-01 06:05:54;2020-05-01 06:14:55;1.0;2.9;1.0;N;161;239;1;10.5;2.5;0.5;2.75;0.0;0.3;16.55;2.5;
2;2020-05-01 06:06:00;2020-05-01 06:18:20;1.0;1.02;1.0;N;263;236;1;9.5;0.0;0.5;2.56;0.0;0.3;15.36;2.5;
2;2020-05-01 06:06:03;2020-05-01 06:20:29;1.0;6.85;1.0;N;141;209;1;21.0;0.0;0.5;1.0;0.0;0.3;25.3;2.5;
2;2020-05-01 06:06:42;2020-05-01 06:13:23;2.0;1.72;1.0;N;162;140;1;7.5;0.0;0.5;3.24;0.0;0.3;14.04;2.5;
2;2020-05-01 06:06:43;2020-05-01 06:27:51;1.0;7.9;1.0;N;239;65;1;25.0;0.0;0.5;1.0;0.0;0.3;29.3;2.5;
1;2020-05-01 06:07:47;2020-05-01 06:07:55;1.0;0.0;2.0;N;75;75;4;52.0;0.0;0.5;0.0;0.0;0.3;52.8;0.0;
2;2020-05-01 06:08:13;2020-05-01 06:10:37;1.0;0.51;1.0;N;33;33;1;4.0;0.0;0.5;20.0;0.0;0.3;24.8;0.0;
2;2020-05-01 06:08:14;2020-05-01 06:10:25;1.0;0.56;1.0;N;100;100;2;4.0;0.0;0.5;0.0;0.0;0.3;7.3;2.5;
1;2020-05-01 06:08:14;2020-05-01 06:14:17;1.0;2.2;1.0;N;75;141;4;8.0;2.5;0.5;0.0;0.0;0.3;11.3;2.5;
2;2020-05-01 06:08:20;2020-05-01 06:35:18;1.0;6.02;1.0;N;143;82;2;22.5;0.0;0.5;0.0;0.0;0.3;25.8;2.5;
1;2020-05-01 06:08:32;2020-05-01 06:16:31;1.0;2.1;1.0;N;141;230;1;9.0;2.5;0.5;2.45;0.0;0.3;14.75;2.5;
2;2020-05-01 06:08:35;2020-05-01 06:08:43;2.0;0.0;1.0;N;140;264;1;2.5;0.0;0.5;12.0;0.0;0.3;17.8;2.5;
1;2020-05-01 06:08:48;2020-05-01 06:17:08;1.0;1.9;1.0;N;143;141;1;9.0;3.0;0.5;4.0;0.0;0.3;16.8;2.5;
1;2020-05-01 06:08:55;2020-05-01 06:15:12;1.0;0.9;1.0;N;24;41;2;6.0;0.0;0.5;0.0;0.0;0.3;6.8;0.0;
1;2020-05-01 06:09:10;2020-05-01 06:11:31;1.0;0.6;1.0;N;100;48;1;4.0;2.5;0.5;1.0;0.0;0.3;8.3;2.5;
2;2020-05-01 06:10:21;2020-05-01 06:18:49;1.0;2.19;1.0;N;74;237;1;9.0;0.0;0.5;3.08;0.0;0.3;15.38;2.5;
2;2020-05-01 06:10:22;2020-05-01 06:13:52;1.0;0.74;1.0;N;161;230;1;4.5;0.0;0.5;1.56;0.0;0.3;9.36;2.5;
1;2020-05-01 06:10:31;2020-05-01 06:14:05;1.0;0.8;1.0;N;162;137;1;5.0;2.5;0.5;1.0;0.0;0.3;9.3;2.5;
1;2020-05-01 06:10:42;2020-05-01 06:26:46;1.0;7.1;1.0;N;238;128;2;22.5;2.5;0.5;0.0;0.0;0.3;25.8;2.5;
1;2020-05-01 06:11:07;2020-05-01 06:13:22;1.0;0.8;1.0;N;100;48;1;4.5;2.5;0.5;1.55;0.0;0.3;9.35;2.5;
1;2020-05-01 06:11:10;2020-05-01 06:37:12;1.0;19.4;2.0;N;151;132;1;52.0;0.0;0.5;11.75;6.12;0.3;70.67;0.0;
1;2020-05-01 06:11:38;2020-05-01 06:22:17;1.0;3.5;1.0;N;170;261;1;12.0;2.5;0.5;2.7;0.0;0.3;18.0;2.5;
1;2020-05-01 06:12:12;2020-05-01 06:12:19;1.0;0.0;1.0;N;100;100;2;2.5;2.5;0.5;0.0;0.0;0.3;5.8;2.5;
2;2020-05-01 06:12:42;2020-05-01 06:16:14;1.0;0.61;1.0;N;237;140;2;4.5;0.5;0.5;0.0;0.0;0.3;8.3;2.5;
1;2020-05-01 06:13:17;2020-05-01 06:19:02;1.0;2.0;1.0;N;114;137;2;7.5;2.5;0.5;0.0;0.0;0.3;10.8;2.5;
2;2020-05-01 06:13:22;2020-05-01 06:16:09;1.0;0.7;1.0;N;100;161;2;4.5;0.0;0.5;0.0;0.0;0.3;7.8;2.5;
1;2020-05-01 06:13:25;2020-05-01 06:21:10;2.0;2.2;1.0;N;151;152;1;8.5;1.0;0.5;2.05;0.0;0.3;12.35;0.0;
2;2020-05-01 06:13:30;2020-05-01 06:19:20;1.0;0.91;1.0;N;48;161;2;6.0;0.0;0.5;0.0;0.0;0.3;9.3;2.5;
1;2020-05-01 06:13:58;2020-05-01 06:25:15;1.0;2.8;1.0;N;162;4;2;11.0;2.5;0.5;0.0;0.0;0.3;14.3;2.5;
1;2020-05-01 06:14:21;2020-05-01 06:27:07;1.0;3.8;1.0;N;141;226;1;14.0;2.5;0.5;3.45;0.0;0.3;20.75;2.5;
1;2020-05-01 06:14:29;2020-05-01 06:16:19;1.0;0.9;1.0;N;74;75;2;4.5;0.0;0.5;0.0;0.0;0.3;5.3;0.0;
1;2020-05-01 06:14:34;2020-05-01 06:18:03;1.0;1.3;1.0;N;48;50;2;6.0;2.5;0.5;0.0;0.0;0.3;9.3;2.5;
1;2020-05-01 06:14:41;2020-05-01 06:19:13;2.0;2.0;1.0;N;263;233;2;7.5;2.5;0.5;0.0;0.0;0.3;10.8;2.5;
2;2020-05-01 06:14:52;2020-05-01 06:24:07;1.0;3.48;1.0;N;100;75;1;11.5;0.0;0.5;1.0;0.0;0.3;15.8;2.5;
2;2020-05-01 06:14:57;2020-05-01 06:20:55;1.0;1.31;1.0;N;239;142;1;7.0;0.0;0.5;2.06;0.0;0.3;12.36;2.5;
2;2020-05-01 06:15:48;2020-05-01 06:20:32;1.0;1.26;1.0;N;68;142;2;5.5;0.0;0.5;0.0;0.0;0.3;8.8;2.5;
1;2020-05-01 06:15:49;2020-05-01 06:21:34;1.0;1.0;1.0;N;100;161;2;6.0;2.5;0.5;0.0;0.0;0.3;9.3;2.5;
1;2020-05-01 06:15:59;2020-05-01 06:19:58;1.0;1.1;1.0;N;262;140;1;6.0;2.5;0.5;2.3;0.0;0.3;11.6;2.5;
