sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
141;BME280;65;48.778;9.160;2024-06-05T02:54:07;98092.66;;;13.26;100.00
141;BME280;65;48.778;9.160;2024-06-05T02:56:53;98085.53;;;13.26;100.00
141;BME280;65;48.778;9.160;2024-06-05T02:59:40;98090.13;;;13.24;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:02:26;98094.34;;;13.27;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:05:11;98091.81;;;13.25;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:08:04;98090.97;;;13.25;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:10:50;98097.47;;;13.21;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:13:36;98104.59;;;13.20;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:16:22;98104.59;;;13.20;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:19:08;98102.91;;;13.19;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:21:54;98108.53;;;13.15;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:24:45;98103.31;;;13.13;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:27:31;98109.47;;;13.14;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:30:17;98108.03;;;13.10;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:33:03;98104.75;;;13.06;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:35:49;98111.84;;;13.06;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:38:35;98109.94;;;13.08;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:41:21;98106.81;;;13.14;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:44:07;98109.56;;;13.25;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:46:53;98112.94;;;13.27;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:49:40;98115.88;;;13.35;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:52:26;98120.13;;;13.38;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:55:12;98119.66;;;13.44;100.00
141;BME280;65;48.778;9.160;2024-06-05T03:57:58;98120.28;;;13.58;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:00:44;98125.13;;;13.65;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:03:29;98127.06;;;13.74;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:06:17;98129.84;;;13.83;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:09:03;98127.63;;;14.01;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:11:49;98132.44;;;14.18;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:14:46;98131.97;;;14.58;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:17:37;98134.50;;;14.71;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:20:27;98139.41;;;14.86;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:23:16;98131.84;;;15.03;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:26:02;98135.47;;;15.13;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:28:48;98131.22;;;15.22;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:31:34;98138.75;;;15.16;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:34:20;98133.41;;;15.16;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:37:06;98141.22;;;15.29;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:39:52;98137.53;;;15.41;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:42:38;98131.66;;;15.59;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:45:23;98136.97;;;15.70;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:48:09;98140.53;;;15.80;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:50:55;98144.34;;;15.87;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:53:41;98141.28;;;15.92;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:56:27;98141.88;;;15.95;100.00
141;BME280;65;48.778;9.160;2024-06-05T04:59:13;98143.91;;;16.12;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:01:58;98143.78;;;16.35;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:04:44;98145.56;;;16.65;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:07:30;98155.38;;;16.95;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:10:16;98145.13;;;17.00;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:13:01;98154.69;;;17.12;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:15:47;98149.09;;;17.92;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:18:33;98160.59;;;19.14;100.00
141;BME280;65;48.778;9.160;2024-06-05T05:21:37;98157.53;;;20.41;98.97
141;BME280;65;48.778;9.160;2024-06-05T05:24:23;98156.63;;;20.67;86.24
141;BME280;65;48.778;9.160;2024-06-05T05:27:09;98157.09;;;20.28;94.81
141;BME280;65;48.778;9.160;2024-06-05T05:29:54;98161.47;;;20.11;87.94
141;BME280;65;48.778;9.160;2024-06-05T05:32:40;98147.84;;;20.05;85.79
141;BME280;65;48.778;9.160;2024-06-05T05:35:26;98157.72;;;19.61;96.25
141;BME280;65;48.778;9.160;2024-06-05T05:38:12;98162.38;;;19.41;96.85
141;BME280;65;48.778;9.160;2024-06-05T05:40:57;98163.69;;;19.19;96.32
141;BME280;65;48.778;9.160;2024-06-05T05:43:43;98166.69;;;19.06;93.77
141;BME280;65;48.778;9.160;2024-06-05T05:46:29;98159.31;;;18.90;97.80
141;BME280;65;48.778;9.160;2024-06-05T05:49:15;98165.81;;;18.88;99.42
141;BME280;65;48.778;9.160;2024-06-05T05:52:00;98161.31;;;18.88;98.17
141;BME280;65;48.778;9.160;2024-06-05T05:54:46;98163.75;;;18.82;99.73
141;BME280;65;48.778;9.160;2024-06-05T05:57:34;98167.97;;;18.84;98.03
141;BME280;65;48.778;9.160;2024-06-05T06:00:19;98172.75;;;18.81;99.16
141;BME280;65;48.778;9.160;2024-06-05T06:03:05;98174.16;;;18.85;99.21
141;BME280;65;48.778;9.160;2024-06-05T06:05:51;98182.28;;;18.93;100.00
141;BME280;65;48.778;9.160;2024-06-05T06:08:37;98183.75;;;19.05;97.30
141;BME280;65;48.778;9.160;2024-06-05T06:11:23;98181.38;;;19.02;91.58
141;BME280;65;48.778;9.160;2024-06-05T06:14:09;98188.13;;;19.06;93.36
141;BME280;65;48.778;9.160;2024-06-05T06:16:54;98193.00;;;19.38;88.68
141;BME280;65;48.778;9.160;2024-06-05T06:19:40;98197.00;;;19.52;86.99
141;BME280;65;48.778;9.160;2024-06-05T06:22:26;98189.59;;;19.64;86.78
141;BME280;65;48.778;9.160;2024-06-05T06:25:12;98196.72;;;19.55;87.06
141;BME280;65;48.778;9.160;2024-06-05T06:27:58;98191.34;;;19.55;84.90
141;BME280;65;48.778;9.160;2024-06-05T06:30:44;98196.56;;;19.56;89.45
141;BME280;65;48.778;9.160;2024-06-05T06:33:30;98199.13;;;19.48;90.90
141;BME280;65;48.778;9.160;2024-06-05T06:36:16;98192.03;;;19.93;82.96
141;BME280;65;48.778;9.160;2024-06-05T06:39:01;98195.28;;;20.74;79.91
141;BME280;65;48.778;9.160;2024-06-05T06:41:48;98193.63;;;22.14;71.54
141;BME280;65;48.778;9.160;2024-06-05T06:44:33;98202.03;;;23.69;64.45
141;BME280;65;48.778;9.160;2024-06-05T06:47:19;98202.91;;;25.12;57.06
141;BME280;65;48.778;9.160;2024-06-05T06:50:05;98201.19;;;25.98;58.48
141;BME280;65;48.778;9.160;2024-06-05T06:52:51;98206.44;;;27.11;51.00
